pathway	Ship-Ballast-100-02-01-17-SA-2-tank-6-uptake-3	Ship-Ballast-101-02-01-17-SA-2-tank-2-uptake-1	Ship-Ballast-102-02-01-17-SA-2-tank-2-uptake-2	Ship-Ballast-103-02-01-17-SA-2-tank-2-uptake-3	Ship-Ballast-110-02-05-17-SA-2-Dis6-1	Ship-Ballast-111-02-05-17-SA-2-Dis6-2	Ship-Ballast-112-02-05-17-SA-2-Dis6-3	Ship-Ballast-113-02-05-17-SA-2-Dis2B-1	Ship-Ballast-114-02-05-17-SA-2-Dis2B-2	Ship-Ballast-115-02-05-17-SA-2-Dis2B-3	Ship-Ballast-80-10-18-16-SA-1-UP-5-1	Ship-Ballast-81-10-18-16-SA-1-UP-5-2	Ship-Ballast-82-10-18-16-SA-1-UP-5-3	Ship-Ballast-83-10-17-16-SA-1-UP-6-1	Ship-Ballast-84-10-17-16-SA-1-UP-6-2	Ship-Ballast-85-10-17-16-SA-1-UP-6-3	Ship-Ballast-86-10-20-16-EX-Dis-5-1	Ship-Ballast-87-10-20-16-EX-Dis-5-2	Ship-Ballast-88-10-20-16-EX-Dis-5-3	Ship-Ballast-89-10-20-16-EX-UP-5-1	Ship-Ballast-90-10-20-16-EX-UP-5-2	Ship-Ballast-91-10-20-16-EX-UP-5-3	Ship-Ballast-92-10-23-16-SA-1-Dis-6-1	Ship-Ballast-93-10-23-16-SA-1-Dis-6-2	Ship-Ballast-94-10-23-16-SA-1-Dis-6-3	Ship-Ballast-95-10-23-16-SA-1-Dis-5-1	Ship-Ballast-96-10-23-16-SA-1-Dis-5-2	Ship-Ballast-97-10-23-16-SA-1-Dis-5-3	Ship-Ballast-98-02-01-17-SA-2-tank-6-uptake-1	Ship-Ballast-99-02-01-17-SA-2-tank-6-uptake-2
FASYN-ELONG-PWY	4829.8136811295435	2754.5080441029336	2510.1655579206226	2455.9251483691055	13186.795863006557	9858.212380343251	12072.880799956874	11716.484896341377	13646.57983403351	7962.31614587542	7568.613247843501	6428.364770054837	6156.426455516178	9819.64171362309	11628.329882349495	11263.593383394873	6560.789753244723	7236.992875761919	8707.876203758166	19335.78506855839	19973.604699754836	16546.486576493564	13945.942704106197	11878.615803792574	10786.58470104208	6484.971096806211	8066.630777034235	5204.058026365148	2767.0915940726068	2213.9359573552315
FASYN-INITIAL-PWY	3170.1919304393136	1674.8350189037774	1645.3882426256123	1593.3835242091575	10815.439100918064	8136.119457791289	9904.283719338262	9923.624709572921	11649.117730538052	6712.895983536954	6000.582767070694	5096.230459823973	4818.85170526178	7011.782392255113	8308.909660791527	7905.705921240991	5294.347989031555	5949.834583950734	7201.940904598397	13260.474070322914	13742.797049874729	11359.710056552889	11998.288610840049	10269.94093069668	9084.90073174633	4680.533914911234	5794.058666041846	3748.9104160144916	1883.2916948668183	1388.3213204114613
FERMENTATION-PWY	2165.072495271987	1382.2954281442035	1239.9854446396741	1180.2259273168395	7719.8420368961415	5787.8440806782855	7032.022716305694	6745.194353040149	7960.29308822855	4599.585602898848	4240.154525034334	3522.412410863175	3417.1553822375176	6532.882573825066	7832.063757022415	7582.056591052025	3725.9697168213465	4191.08500392243	5014.898462177427	9670.079239095203	10116.24231887762	8208.33430677141	8721.476115593072	7431.266795406635	6717.96978246987	3165.227779754972	3928.246120160315	2556.5074151420085	1307.8544208123756	1032.8057832768402
FOLSYN-PWY	3130.0130844535165	1900.0949324079422	1676.4352447169122	1590.7536239241892	7844.3462005762285	5899.262150673238	7098.741071298493	6881.534350609972	8089.280617658402	4649.835650300732	4579.276015523297	3852.1136818558116	3698.4849582168877	5598.671239290208	6658.131647813435	6452.554781329744	4016.3934462421566	4431.088192291245	5321.426913069726	11369.725671193188	11777.78665312026	9686.702553177063	9286.427028731096	7862.521369010532	7246.664483608069	3554.9116596744966	4398.775544827249	2830.431515886515	1795.3634882760607	1426.0110973035328
FUC-RHAMCAT-PWY	0.0	9.190570807837233	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.292612138354423	0.0
FUCCAT-PWY	5.943630407645303	52.51956042662962	24.000271988042364	64.08511779695114	0.0	0.0	0.0	0.0	0.0	0.0	24.90566457593854	24.742909846680607	22.39063569641766	0.0	0.0	0.0	0.0	0.0	0.0	42.840883223059905	41.96043956043956	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.409346581244492	24.195020636803623
GALACT-GLUCUROCAT-PWY	817.6571162136621	464.2032053623681	435.6024122693309	410.6060823604685	1189.8241199914687	727.4742192142128	1274.1263247733998	1820.6836392294515	2209.05583043684	1262.4922891230433	1224.1771059648129	1022.2520294967366	944.189135309128	420.997396895084	423.34218558247255	361.7355048211489	74.4086348795616	82.24799591307529	80.10077453692455	18.407450960298753	17.79645268880948	0.0	76.87642852203369	33.64309169080079	21.34814161434399	0.0	0.0	0.0	485.7086658294207	380.1724379570825
GALACTARDEG-PWY	404.97064590096767	231.11333996665815	210.0528948465358	196.83705377096314	0.0	0.0	0.0	0.0	0.0	0.0	61.400176654424044	52.27370561798821	59.18626326344335	19.967652425495714	0.0	11.458907897847183	9.952081996869687	0.0	10.959996831218714	28.08710613639444	26.415835739054543	26.47775810504753	0.0	7.982345681109275	0.0	0.0	0.0	0.0	234.89406371432517	151.82595773428284
GALACTUROCAT-PWY	1485.4566590478998	930.9550899964711	901.0789650329148	847.4028833470074	1375.7976867228224	858.0467941931447	1455.1556631586552	2021.9794450008692	2435.3675782643854	1398.2851741444588	1502.2951511070853	1291.1552212786044	1171.396068833735	476.00575923751165	488.611772515288	405.54544511944283	143.84477450404933	153.65401709633392	154.82983265583044	447.61312527166564	383.81587725455967	134.19874296613318	291.8853161411667	226.8193662008262	215.79940676886577	91.17857549541617	73.67891468007866	69.40136690862708	918.7108069995802	693.6971572380382
GALLATE-DEGRADATION-I-PWY	498.6351389907121	264.89440028883683	225.73012460112446	188.06929033512807	522.6033952094809	389.57760050577633	373.2700162873981	246.30314017798628	350.6061011969712	251.33132034037882	353.5743368291178	227.7315615304177	230.81428571428575	0.0	12.790697674418606	0.0	196.67000000000002	161.0	212.42000000000002	8.75	11.280000000000001	11.0	35.99767424049017	0.0	16.0	98.99999999999999	125.79545454545453	90.0	255.4971877190206	203.85203045685276
GALLATE-DEGRADATION-II-PWY	206.90736369211317	71.20972417379754	69.06004252721328	64.62997689948621	594.7079893102521	440.83139066531135	430.8663793432778	250.71226175195565	372.116501821516	283.44735186049815	45.11701499586728	0.0	22.90284094264958	0.0	12.790697674418606	0.0	37.947994670832	32.37988826815643	44.33440148416748	8.75	11.280000000000001	11.0	34.50312469783143	0.0	16.0	98.99999999999999	125.79545454545453	90.0	85.2496695956854	80.20794606563877
GLCMANNANAUT-PWY	139.1356598400924	70.75303704345527	34.445964247617624	14.512523676892481	0.0	0.0	0.0	0.0	0.0	0.0	45.185004381025514	0.0	10.778866454501781	0.0	9.203762378116197	0.0	0.0	0.0	0.0	31.03893473773982	18.66061135580441	0.0	0.0	0.0	0.0	0.0	0.0	0.0	102.69776003782191	93.73573986071975
GLUCARDEG-PWY	425.2635535878783	231.63193336584698	215.94899590154122	213.5088369568928	0.0	0.0	0.0	0.0	0.0	0.0	61.8820227066039	52.81565234887078	60.07196072537077	19.822078044524048	0.0	11.632138415012767	9.962205735011182	0.0	10.964429556692295	28.08710613639444	26.415835739054543	26.47775810504753	0.0	7.979373364214015	0.0	0.0	0.0	0.0	240.82109409449978	145.47037517292608
GLUCARGALACTSUPER-PWY	404.97064590096767	231.11333996665815	210.0528948465358	196.83705377096314	0.0	0.0	0.0	0.0	0.0	0.0	61.400176654424044	52.27370561798821	59.18626326344335	19.967652425495714	0.0	11.458907897847183	9.952081996869687	0.0	10.959996831218714	28.08710613639444	26.415835739054543	26.47775810504753	0.0	7.982345681109275	0.0	0.0	0.0	0.0	234.89406371432517	151.82595773428284
