pathway	Ship-Ballast-100-02-01-17-SA-2-tank-6-uptake-3	Ship-Ballast-101-02-01-17-SA-2-tank-2-uptake-1	Ship-Ballast-102-02-01-17-SA-2-tank-2-uptake-2	Ship-Ballast-103-02-01-17-SA-2-tank-2-uptake-3	Ship-Ballast-110-02-05-17-SA-2-Dis6-1	Ship-Ballast-111-02-05-17-SA-2-Dis6-2	Ship-Ballast-112-02-05-17-SA-2-Dis6-3	Ship-Ballast-113-02-05-17-SA-2-Dis2B-1	Ship-Ballast-114-02-05-17-SA-2-Dis2B-2	Ship-Ballast-115-02-05-17-SA-2-Dis2B-3	Ship-Ballast-80-10-18-16-SA-1-UP-5-1	Ship-Ballast-81-10-18-16-SA-1-UP-5-2	Ship-Ballast-82-10-18-16-SA-1-UP-5-3	Ship-Ballast-83-10-17-16-SA-1-UP-6-1	Ship-Ballast-84-10-17-16-SA-1-UP-6-2	Ship-Ballast-85-10-17-16-SA-1-UP-6-3	Ship-Ballast-86-10-20-16-EX-Dis-5-1	Ship-Ballast-87-10-20-16-EX-Dis-5-2	Ship-Ballast-88-10-20-16-EX-Dis-5-3	Ship-Ballast-89-10-20-16-EX-UP-5-1	Ship-Ballast-90-10-20-16-EX-UP-5-2	Ship-Ballast-91-10-20-16-EX-UP-5-3	Ship-Ballast-92-10-23-16-SA-1-Dis-6-1	Ship-Ballast-93-10-23-16-SA-1-Dis-6-2	Ship-Ballast-94-10-23-16-SA-1-Dis-6-3	Ship-Ballast-95-10-23-16-SA-1-Dis-5-1	Ship-Ballast-96-10-23-16-SA-1-Dis-5-2	Ship-Ballast-97-10-23-16-SA-1-Dis-5-3	Ship-Ballast-98-02-01-17-SA-2-tank-6-uptake-1	Ship-Ballast-99-02-01-17-SA-2-tank-6-uptake-2
PWY-5100	663.0010026	315.5213954	365.5142204	339.4223296	33.40912991	30.89550452	32.40729505	449.1762585	502.1356237	179.6491116	2688.62031	2281.008033	2359.234713	5711.042378	6814.387279	6663.592893	176.5865352	175.2942721	242.837127	74.78968181	82.75353419	29.9604104	39.83209986	25.91913009	23.91723663	0	0	0	310.9351082	237.1863461
PWY-5101	6187.723276	3594.724621	3211.270513	2925.655167	10292.37869	7643.995264	9426.119396	9520.834889	11273.3074	6515.990313	6450.217466	5337.87414	5130.285363	6370.563794	7545.734842	7259.198488	4952.163054	5402.806631	6526.004334	12666.72842	12977.31018	10553.21429	10672.71054	9044.009995	8265.539871	4604.577175	5686.442767	3682.454482	3627.619173	2811.079008
PWY-5103	4418.387836	2606.943221	2335.210375	2176.365685	8183.842487	6080.029651	7446.299155	7412.005918	8784.646157	5060.865194	5171.97464	4340.631001	4157.719837	5564.185829	6594.774109	6321.586559	4039.031987	4478.671582	5374.94146	11041.99706	11343.05809	9278.526054	8967.737292	7600.903467	6924.829433	3754.525954	4635.003491	2985.445374	2572.641561	2021.932597
PWY-5104	2398.761345	1097.094625	1031.087351	994.0180064	893.7978196	787.8235679	847.9495504	1109.169983	1315.100776	703.4617016	3615.601062	3075.412967	3132.896107	6113.699587	7285.20832	7058.720768	980.8355209	1178.040926	1691.178827	9649.304491	9851.033813	7954.491557	5529.281718	4591.999641	4304.076181	1315.947076	1555.912792	829.8653564	1366.609647	918.9884742
PWY-5121	2794.478992	1779.637279	1584.036855	1537.483319	5946.69707	4516.900465	5297.539123	4956.665426	5773.452074	3303.604606	2876.011463	2456.01189	2298.67542	1676.327985	1898.43206	1384.333689	3066.384803	3488.788943	4174.471866	5205.744641	5334.079963	4330.802758	6808.356713	5827.66178	5058.764955	2409.303805	2993.717275	1947.996017	1665.687867	1302.975537
PWY-5154	2810.94765	1586.499868	1518.878273	1377.257324	8149.866674	6129.834562	7393.692997	7080.714362	8305.063051	4769.143897	4124.008028	3468.897672	3368.093719	4845.311568	5733.665048	5551.689822	3804.548765	4182.930106	5025.027641	9739.587518	10015.30842	8208.72117	8597.57241	7297.984092	6657.532857	3452.338636	4281.911942	2781.99081	1684.634389	1238.094162
PWY-5177	7.9944507	15.95725099	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5178	7.622435033	79.2913706	35.56676104	12.28367649	111.0542604	117.5499896	108.0371289	88.29188398	89.30734793	61.71752702	52.23875412	0	35.56150476	0	0	0	138.0447491	145.1858058	143.0510467	0	0	0	10.52789091	0	0	0	0	0	0	0
PWY-5180	455.0716731	234.6783085	209.9878645	193.4078978	174.179437	152.3874994	130.7518629	97.87082444	84.28705911	68.78247491	293.6977771	230.6703545	265.1934112	0	0	0	238.8166812	183.3746144	298.4986318	57.9730985	123.79471	64.42152064	80.33248215	59.57820022	52.17847836	0	114.6973313	0	276.3977329	232.2305533
PWY-5181	286.4663522	121.8044513	122.3010192	100.4714227	4350.184023	3256.900301	3730.425713	3659.227732	4308.418849	2517.102702	962.4778192	700.6255021	731.1864743	315.4869425	401.3127238	279.9284694	2748.333718	3131.892642	3745.552396	0	0	0	850.1055365	1017.947006	535.5592899	586.6913077	724.6903419	506.3729096	141.1522286	165.0294426
PWY-5182	455.0716731	234.6783085	209.9878645	193.4078978	174.179437	152.3874994	130.7518629	97.87082444	84.28705911	68.78247491	293.6977771	230.6703545	265.1934112	0	0	0	238.8166812	183.3746144	298.4986318	57.9730985	123.79471	64.42152064	80.33248215	59.57820022	52.17847836	0	114.6973313	0	276.3977329	232.2305533
PWY-5183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	169.6078948	101.1218374	114.0093333	0	0	0	0	0	0	0	0	0	0	0
PWY-5188	3298.049626	1935.090209	1764.097581	1657.440101	7179.973356	5373.852817	6583.834113	6607.829469	7768.165334	4457.163681	4436.404911	3753.887321	3543.248295	4691.15724	5574.801093	5330.288387	3550.847762	3945.842985	4729.855653	9198.219661	9551.89454	7825.517928	8032.772774	6825.227764	6191.059547	3139.507811	3876.953625	2498.518227	1953.947794	1531.033445
PWY-5189	3093.983913	1816.033266	1663.987035	1526.68532	6740.900055	5038.61673	6204.59741	6317.173237	7436.516852	4263.629539	4303.653694	3667.901581	3447.176682	4667.74099	5540.653192	5312.369229	3270.922005	3631.289969	4360.969877	9141.632765	9441.716987	7776.153467	7469.655297	6331.167165	5792.229033	2899	3581.87	2303.5	1845.478632	1444.838594
PWY-5198	0	0	26.97901305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5304	357.5	199.5	165	152.5	287.5	189	220.5	173	213	150	63	62	22	0	22	0	124.67	93	150.17	724	298	308	8.67	4	1.5	0	0	0	198.5	146.5
PWY-5345	3512.481552	2001.273093	1864.272609	1731.581464	8153.966495	6034.192032	7542.60483	7630.393231	8991.714056	5173.566636	4986.140289	4190.27663	3986.979625	6011.109008	7156.932186	6939.81084	3921.607444	4329.317101	5209.228691	11771.54012	12137.56286	9920.685424	8445.030338	7199.793102	6542.45308	3441.856657	4231.42697	2644.260026	2060.429136	1574.05466
PWY-5347	1437.65037	1181.114543	846.492661	985.9039568	712.9368165	499.9596486	535.643335	793.137547	864.0320295	458.033066	2986.833562	2622.768473	2557.472954	5711.162053	6888.569946	6613.475524	569.0069617	915.0822839	1055.976796	11674.78503	12197.50808	10081.30895	5122.237164	4206.784015	4165.627592	2669.405822	3215.09226	2007.149864	898.4855183	726.4363261
PWY-5384	699.8925565	392.2110587	289.4860263	338.1164442	6335.254933	4761.640932	5733.775875	5182.773029	6053.754116	3536.769886	2795.042587	2270.585692	2286.380377	4424.441035	5255.879184	5148.589068	2918.429981	3261.450494	3967.633013	8877.303592	9277.726892	7677.030547	7752.236103	6583.949558	6059.032239	3089.723366	3849.376566	2479.811306	364.3114728	308.7057369
PWY-5392	13.95220639	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17.35938386	24.19094243
PWY-5415	436.7033616	229.3644927	195.1609341	187.4816209	143.2631026	101.5602995	91.81735703	77.86601196	73.67564364	51.53074572	41.88202401	75.44459247	41.52337804	0	0	0	215.5599479	166.8736075	249.634032	18.06126786	90.57096271	46.95162068	62.87281828	11.47081941	40.23205644	0	26.34680167	0	266.4002911	222.0828579
PWY-5417	182.9347345	132.5486505	77.13168584	76.49190218	1276.595513	966.5897039	1009.953158	711.1159673	985.450991	688.9160876	609.3072252	442.7246261	469.5727479	141.2519735	149.9148652	170.0005326	1280.680551	1261.693511	1763.551885	13.27551287	12.53453131	10.7972973	810.2299718	746.5640264	559.9714693	283.0350133	315.7836462	218.6252988	88.24269616	113.9354153
PWY-5419	611.6643668	289.3093052	282.9433936	300.2147645	255.5144233	149.5377297	184.8631631	145.4341656	180.7332866	156.896341	92.06853261	103.7995647	102.1864405	0	0	0	138.7205375	72.48724037	75.21682921	59.75656128	143.74703	53.9040993	2.948756588	0	0	0	22.37651927	0	384.9181037	260.5123969
PWY-5420	510.2282952	260.6739767	223.5734886	218.079542	170.6530199	117.546672	111.6251258	94.99829473	92.28074279	65.56706625	135.3500592	142.1202818	144.4874301	0	0	0	172.7406009	100.7615541	112.7512268	25.06646009	121.9704128	64.06156687	5.047537778	0	0	0	25.60003481	0	305.7973495	236.8553837
PWY-5430	168.1317031	105.7005976	71.92753297	100.9302439	0	0	0	0	0	0	67.33549666	103.2972433	66.51545262	0	0	0	153.1732938	91.87793075	113.8330038	16.09283699	27.55538499	28.10062457	0	0	0	0	27.4994744	0	83.87424973	0
PWY-5431	182.9347345	132.5486505	77.13168584	76.49190218	1276.595513	966.5897039	1009.953158	711.1159673	985.450991	688.9160876	609.3072252	442.7246261	469.5727479	141.2519735	149.9148652	170.0005326	1280.680551	1261.693511	1763.551885	13.27551287	12.53453131	10.7972973	810.2299718	746.5640264	559.9714693	283.0350133	315.7836462	218.6252988	88.24269616	113.9354153
PWY-5484	2843.781201	1712.042832	1438.316529	1399.093365	5202.66834	3694.891822	5018.579504	5679.453997	6720.681418	3811.052494	4030.088065	3317.57276	3252.051249	5609.567594	6711.321336	6508.753825	1475.624194	1264.982472	1746.186439	10476.00997	10938.14188	8934.781129	5853.635707	4815.727612	4771.500731	2702.530089	3351.019997	2097.791829	1545.520208	1256.000383
PWY-5505	2102.182615	1225.34571	1153.037487	1162.074366	2718.991738	2112.08026	2658.792683	3447.483123	4041.962173	2286.357239	2681.428751	2227.905472	1992.824883	947.590768	1039.92806	876.8683479	1605.016762	1631.896818	2001.989083	864.4141154	936.4954434	803.6462831	234.0187052	244.5922023	170.012761	248.6745618	247.6489811	146.1616564	1345.126323	1086.996263
PWY-5509	1602.272813	748.9898056	660.7728102	671.2271659	6261.935135	4703.005844	5707.036768	5473.957981	6447.448371	3683.394989	2139.910258	1714.126976	1637.091112	812.4377922	858.457079	682.3684716	3038.388217	3414.107228	4054.488084	8548.170202	8945.259458	7383.181258	4905.159636	4303.318129	3571.778005	2588.31307	3285.419616	2136.359812	836.488497	676.0823275
PWY-5529	0	87.79600853	58.83212314	198.3781751	106.7557286	55.56698559	69.68416537	0	0	36.76176779	199.3038718	197.1870456	99.72566655	0	0	0	0	0	0	92.47581069	162.5825039	0	0	0	0	0	0	0	0	0
PWY-5531	231.2177661	191.5673426	174.6732564	179.8081423	91.35976113	49.40042158	62.70309091	106.2290783	102.2131998	64.62372236	146.251816	155.642502	166.9871769	0	11.45365389	10.34953843	91.20083336	45.54996329	97.66897291	69.05869546	109.6684423	23.71914412	46.21300832	27.2387313	52.54248422	88.58205518	70.51446113	45.64920115	166.5547232	182.2917267
